Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450072251;FONTAINE_BOIS;GHM Bois;;;PARC KELLERMANN;PARIS 13EME ARRONDISSEMENT;NON;2021-11-15T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.355909682427191, 48.81842564839068], ""type"": ""Point""}";48.81842564839068,2.355909682427191
450072256;FONTAINE_BOIS;GHM Bois;;;SQUARE PIERRE ET MARIE CURIE;PARIS 13EME ARRONDISSEMENT;NON;2021-07-27T04:00:00+02:00;2022-04-29T04:00:00+02:00;INACCESSIBLE;"{""coordinates"": [2.363256760620734, 48.84112591778924], ""type"": ""Point""}";48.84112591778924,2.363256760620734
450072306;FONTAINE_BOIS;GHM Bois;22;;RUE DE CHATILLON;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.322496164103434, 48.82795179902562], ""type"": ""Point""}";48.82795179902562,2.322496164103434
450071802;FONTAINE_BOIS;GHM Bois;2F;;PLACE PAUL PAINLEVE;PARIS 5EME ARRONDISSEMENT;NON;2021-11-26T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.344276887652916, 48.850186898538816], ""type"": ""Point""}";48.850186898538816,2.344276887652916
450071813;FONTAINE_BOIS;GHM Bois;;;SQUARE VIVIANI;PARIS 5EME ARRONDISSEMENT;NON;2022-01-12T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.347930982626103, 48.852280134416716], ""type"": ""Point""}";48.852280134416716,2.347930982626103
450072298;FONTAINE_BOIS;GHM Bois;;215;RUE VERCINGETORIX;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.308275889382546, 48.8302103185787], ""type"": ""Point""}";48.8302103185787,2.308275889382546
450072444;FONTAINE_BOIS;GHM Bois;;;SQUARE JEROME BELLAT;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.294349386524903, 48.886150869431106], ""type"": ""Point""}";48.886150869431106,2.294349386524903
450072246;FONTAINE_BOIS;GHM Bois;;;JARDIN JAMES JOYCE;PARIS 13EME ARRONDISSEMENT;NON;2021-11-23T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.373509654839177, 48.83583714110075], ""type"": ""Point""}";48.83583714110075,2.373509654839177
450071824;FONTAINE_BOIS;Particulier;;FACE 65;QUAI D ORSAY;PARIS 7EME ARRONDISSEMENT;NON;2021-12-01T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.306428908850735, 48.86266040555054], ""type"": ""Point""}";48.86266040555054,2.306428908850735
450072220;FONTAINE_BOIS;GHM Bois;;;PARC DE CHOISY;PARIS 13EME ARRONDISSEMENT;NON;2021-11-23T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.360462669590653, 48.82848669842355], ""type"": ""Point""}";48.82848669842355,2.360462669590653
