Adresse;Nom du site;Code postal;Nombre de bornes;Etat du site;Code Site;geo_shape;geo_point_2d
17 CITE MOYNET;CENTRE SPORTIF LEON MOTTOT;75012;1;Opérationnel;PW0086;"{""coordinates"": [2.386629495395026, 48.8438656928756], ""type"": ""Point""}";48.8438656928756,2.386629495395026
68 BOULEVARD PONIATOWSKI;CENTRE SPORTIF LEO LAGRANGE;75012;1;Opérationnel;PW0084;"{""coordinates"": [2.399334335935606, 48.8321648675282], ""type"": ""Point""}";48.8321648675282,2.399334335935606
1 COUR CHAMONARD;PARC DE BERCY (ORANGERIE);75012;2;Opérationnel;PW0058-2;"{""coordinates"": [2.383252259533802, 48.836091766026286], ""type"": ""Point""}";48.836091766026286,2.383252259533802
ROUTE DE LA PYRAMIDE;PARC FLORAL;75012;5;Opérationnel;PW0200;"{""coordinates"": [2.439835247184326, 48.840125544936114], ""type"": ""Point""}";48.840125544936114,2.439835247184326
1 COUR CHAMONARD;PARC DE BERCY (TERRASSE BERCY);75012;2;Opérationnel;PW0058-3;"{""coordinates"": [2.382350243699965, 48.83681071348854], ""type"": ""Point""}";48.83681071348854,2.382350243699965
227 RUE DE BERCY;DIR SYSTEMES INFORMATION ET NUMERIQUE;75012;4;Opérationnel;PW0999;"{""coordinates"": [2.369705547091575, 48.846475645558336], ""type"": ""Point""}";48.846475645558336,2.369705547091575
130 AVENUE DAUMESNIL;MAIRIE DU 12 EME;75012;2;Opérationnel;PW0012;"{""coordinates"": [2.388337487704945, 48.841104078480036], ""type"": ""Point""}";48.841104078480036,2.388337487704945
21 RUE ANTOINE JULIEN HENARD;ESPACE REUILLY;75012;3;Opérationnel;PW0222;"{""coordinates"": [2.389633084390788, 48.84251862032188], ""type"": ""Point""}";48.84251862032188,2.389633084390788
11 RUE ANTOINE JULIEN HENARD;GYMNASE REUILLY;75012;1;Opérationnel;PW0099;"{""coordinates"": [2.389171441921968, 48.84170547884535], ""type"": ""Point""}";48.84170547884535,2.389171441921968
38 AVENUE DAUMESNIL;COULEE VERTE - BASTILLE;75012;1;Opérationnel;PW0216;"{""coordinates"": [2.376419516945574, 48.84718308901555], ""type"": ""Point""}";48.84718308901555,2.376419516945574
30 RUE DU FAUBOURG SAINT ANTOINE;ACTIVITES ARTISANALES ET CREATION DU 12EME;75012;3;Opérationnel;PW0120;"{""coordinates"": [2.371645435064271, 48.852406612488366], ""type"": ""Point""}";48.852406612488366,2.371645435064271
1 COURS SAIT EMILION;PARC DE BERCY (JARDINAGE);75012;1;Opérationnel;PW0058;"{""coordinates"": [2.385483176701273, 48.83241898581484], ""type"": ""Point""}";48.83241898581484,2.385483176701273
AVENUE DAUMESNIL - COIN RUE RAMBOUILLET;COULEE VERTE - DAUMESNIL RAMBOUILLET;75012;1;Opérationnel;PW0217;"{""coordinates"": [2.381615767605796, 48.84467620670815], ""type"": ""Point""}";48.84467620670815,2.381615767605796
181 AVENUE DAUMESNIL;MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 12;75012;6;Opérationnel;PW0030;"{""coordinates"": [2.392506776531803, 48.84048781257586], ""type"": ""Point""}";48.84048781257586,2.392506776531803
70 RUE DUNOIS;CENTRE SPORTIF DUNOIS;75013;1;Opérationnel;PW0079;"{""coordinates"": [2.366278587662253, 48.83317032166053], ""type"": ""Point""}";48.83317032166053,2.366278587662253
147 BOULEVARD VINCENT AURIOL;SQUARE DE LA RAFFINERIE SAY;75013;1;Opérationnel;PW0174;"{""coordinates"": [2.3620434010445353, 48.83256937742215], ""type"": ""Point""}";48.83256937742215,2.3620434010445353
RUE JEAN ANOUILH;SQUARE GEORGES DUHAMEL;75013;1;Opérationnel;PW0171;"{""coordinates"": [2.377611889269577, 48.83191582844804], ""type"": ""Point""}";48.83191582844804,2.377611889269577
6 PLACE LEVI STRAUSS;PERMIS DE CONSTRUIRE - USAGER;75013;1;Opérationnel;PW0223;"{""coordinates"": [2.37528632402452, 48.830418305303915], ""type"": ""Point""}";48.830418305303915,2.37528632402452
213 BOULEVARD VINCENT AURIOL;BIBLIOTHEQUE ITALIE;75013;1;Opérationnel;PW0114;"{""coordinates"": [2.356754476729749, 48.830786809045556], ""type"": ""Point""}";48.830786809045556,2.356754476729749
81 BOULEVARD MASSENA;CENTRE SPORTIF GEORGES CARPENTIER - BATIMENT TENNIS;75013;1;Opérationnel;PW0103-2;"{""coordinates"": [2.367308749603462, 48.82049066987803], ""type"": ""Point""}";48.82049066987803,2.367308749603462
105 RUE JEANNE D ARC;SQUARE GUSTAVE MESUREUR;75013;1;Opérationnel;PW0178;"{""coordinates"": [2.362791895302856, 48.83384615455623], ""type"": ""Point""}";48.83384615455623,2.362791895302856
43 RUE CORVISART;SQUARE RENE LEGALL;75013;1;Opérationnel;PW0069;"{""coordinates"": [2.347419766430832, 48.83220679997316], ""type"": ""Point""}";48.83220679997316,2.347419766430832
81 BOULEVARD MASSENA;CENTRE SPORTIF GEORGES CARPENTIER;75013;4;Opérationnel;PW0103;"{""coordinates"": [2.368125151306785, 48.820237188844665], ""type"": ""Point""}";48.820237188844665,2.368125151306785
99 BOULEVARD KELLERMANN;STADE CHARLETY;75013;9;Opérationnel;PW0169;"{""coordinates"": [2.3467016527330182, 48.819334380975064], ""type"": ""Point""}";48.819334380975064,2.3467016527330182
