Adresse;Nom du site;Code postal;Nombre de bornes;Etat du site;Code Site;geo_shape;geo_point_2d
2  RUE LOUIS ARMAND;CENTRE SPORTIF SUZANNE LENGLEN - STADE DE RUDBY;75015;1;Opérationnel;PW0173-2;"{""coordinates"": [2.276606159443164, 48.832881073674926], ""type"": ""Point""}";48.832881073674926,2.276606159443164
41 RUE D ALLERAY;BIBLIOTHEQUE MARGUERITE YOURCENAR;75015;7;Opérationnel;PW0046;"{""coordinates"": [2.303480802178814, 48.8368069210248], ""type"": ""Point""}";48.8368069210248,2.303480802178814
18 AVENUE DE LA PORTE BRANCION;CENTRE SPORTIF CHARLES RIGOULOT;75015;1;Opérationnel;PW0075;"{""coordinates"": [2.300417465508702, 48.82663359274811], ""type"": ""Point""}";48.82663359274811,2.300417465508702
2 RUE LOUIS ARMAND;CENTRE SPORTIF SUZANNE LENGLEN - TRIBUNE COUR DE TENNIS;75015;1;Opérationnel;PW0173;"{""coordinates"": [2.276832789549165, 48.832964670678884], ""type"": ""Point""}";48.832964670678884,2.276832789549165
1 PLACE DU ONZE NOVEMBRE 1918;JARDIN DU TROCADERO;75016;1;Opérationnel;PW0175;"{""coordinates"": [2.289349944365957, 48.8609372146897], ""type"": ""Point""}";48.8609372146897,2.289349944365957
10 AVENUE PIERRE IER DE SERBIE;JARDIN MUSEE GALLIERA;75016;1;Fermé pour travaux;;"{""coordinates"": [2.297298857641214, 48.86565971283047], ""type"": ""Point""}";48.86565971283047,2.297298857641214
6 RUE DU COMMANDANT SCHLOESING;BIBLIOTHEQUE GERMAINE TILLION;75016;3;Opérationnel;PW0113;"{""coordinates"": [2.284270791218422, 48.8618363825724], ""type"": ""Point""}";48.8618363825724,2.284270791218422
11 AVENUE DU PRESIDENT WILSON;MUSEE D ART MODERNE;75016;11;Opérationnel;PW0211;"{""coordinates"": [2.296997336665013, 48.864710182344766], ""type"": ""Point""}";48.864710182344766,2.296997336665013
82 AVENUE GEORGES LAFONT;STADE PIERRE DE COUBERTIN;75016;4;Opérationnel;PW0108;"{""coordinates"": [2.255760693346943, 48.83549894578003], ""type"": ""Point""}";48.83549894578003,2.255760693346943
30-32 BOULEVARD LANNES;CENTRE SPORTIF HENRY DE MONTHERLAND;75016;1;Opérationnel;PW0101;"{""coordinates"": [2.27212085380691, 48.86752280679387], ""type"": ""Point""}";48.86752280679387,2.27212085380691
71 AVENUE HENRI-MARTIN;MAIRIE DU 16 EME;75016;1;Opérationnel;PW0015;"{""coordinates"": [2.276652521898563, 48.86394077019892], ""type"": ""Point""}";48.86394077019892,2.276652521898563
10 AVENUE PIERRE 1ER DE SERBIE;MUSEE GALLIERA;75016;20;Opérationnel;PW0229;"{""coordinates"": [2.296493860761188, 48.86591178656071], ""type"": ""Point""}";48.86591178656071,2.296493860761188
1 ROUTE DES LACS A PASSY;PISCINE AUTEUIL;75016;1;Opérationnel;PW0102;"{""coordinates"": [2.261567482309456, 48.85815259404039], ""type"": ""Point""}";48.85815259404039,2.261567482309456
26 AVENUE DU GENERAL SARRAIL;STADE JEAN BOUIN;75016;5;Opérationnel;PW0107;"{""coordinates"": [2.255094888191177, 48.84392391670775], ""type"": ""Point""}";48.84392391670775,2.255094888191177
8 AVENUE FOCH;PREFOURRIERE FOCH;75016;1;Opérationnel;PW0230;"{""coordinates"": [2.291739344849886, 48.873812495377], ""type"": ""Point""}";48.873812495377,2.291739344849886
